GaiaDR3,label,stability,Dist,X,Y,Z,VtRA,VtDE,VtRALSR,VtDELSR,RV,Simbad,Region,Group,Bstar,RAdeg,DEdeg,e_RAdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,BP-RP,BP-G,G-RP,RV_DR3,e_RV,n_RV,o_RV,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000
6104801235332884352,20,95.5,137.605,106.378,-76.413,42.1892,-14.51,-14.11,-2.363,-1.388,2.9999,Simbad,"UCL","nu Cen","* nu Cen",219.9932810003,-40.46922420282,0.0508,0.0466,7.2672,0.06,-22.251,0.063,-21.632,0.061,1.064,256,5926.80242,25.8916,228.908,16.255316,0.005485,22,661.638,24.9039,26.5676,18.286991,0.040962,22,8580.35,140.366,61.1283,14.914133,0.018159,3.372858,2.031675,1.341183,,,,,219.99341099134,-40.46912806033,1.026315,0.971159
6104805255422096384,18,3.8,179.093,139.115,-98.94,54.1483,-14.62,-14.55,-2.559,-1.762,6.8345,Simbad,"UCL","UPK606","HD125777",220.44278340033,-40.58974048658,0.0565,0.0477,5.5837,0.0631,-17.223,0.071,-17.144,0.065,1.095,215,6261.50967,10.0512,622.964,16.19567,0.00326,23,663.932,14.5938,45.4943,18.283234,0.024028,23,9213.5,35.5506,259.166,14.836834,0.005642,3.4464,2.087564,1.358835,,,,,220.44288419935,-40.58966429154,1.137832,1.023085
6104813742277740288,20,84.4,153.61,119.302,-84.485,47.1733,-13.53,-14.52,-1.457,-1.755,2.8697,Simbad,"UCL","nu Cen","* nu Cen",220.41181831096,-40.28411302051,0.0834,0.0909,6.51,0.1005,-18.575,0.116,-19.943,0.112,1.277,168,4023.1017,5.27573,762.568,16.675964,0.003101,16,417.094,9.86162,42.2947,18.787956,0.025822,15,5987.92,31.6523,189.178,15.304706,0.006872,3.483251,2.111992,1.371259,,,,,220.41192653329,-40.28402438533,1.860679,1.742396
6104835217114438912,20,40.7,156.079,121.289,-85.433,48.485,-14.55,-15.7,-2.493,-2.942,2.7949,Simbad,"UCL","nu Cen","* nu Cen",220.45295476585,-40.03203003793,0.1324,0.1043,6.407,0.1274,-19.67,0.149,-21.215,0.145,1.065,183,1632.35025,2.9717,549.299,17.655333,0.003391,24,205.938,16.2274,12.6907,19.554203,0.085599,22,2553.59,12.4459,205.174,16.230019,0.006503,3.324184,1.89887,1.425314,,,,,220.45306894057,-40.03193574837,2.433889,2.311221
6104849373327688832,20,95.2,136.873,105.749,-75.955,42.2152,-14.81,-13.87,-2.645,-1.167,2.9848,Simbad,"UCL","nu Cen","* nu Cen",219.93444907112,-40.36844893088,0.0334,0.0296,7.3061,0.0391,-22.823,0.04,-21.384,0.04,1.371,210,4977167.68867,2122.07,2345.43,8.944911,0.002794,22,2952670.0,877.773,3363.82,9.163006,0.002809,24,2957540.0,1558.48,1897.7,8.570569,0.003822,0.592437,0.218095,0.374342,,,,,219.93458220812,-40.36835389077,0.656777,0.637775
6104904898664164224,20,8.2,168.867,130.943,-92.159,53.6373,-13.93,-13.25,-1.827,-0.557,2.7336,Simbad,"UCL","nu Cen","* nu Cen",220.23941579275,-39.64310177281,0.0163,0.0125,5.9218,0.0179,-17.401,0.018,-16.557,0.017,1.089,227,86531.02181,105.168,822.785,13.344438,0.003055,24,28547.5,128.945,221.393,14.199623,0.005642,24,84515.2,236.627,357.167,12.430558,0.00485,1.769065,0.855186,0.913879,4.12,2.16,2,12,220.2395162298,-39.64302818587,0.287736,0.265964
6104904898664165376,20,7.9,168.304,130.503,-91.853,53.4619,-13.87,-13.19,-1.764,-0.498,2.7337,Simbad,"UCL","nu Cen","* nu Cen",220.23777569951,-39.64228406911,0.0607,0.0497,5.9416,0.0724,-17.381,0.07,-16.538,0.067,1.119,200,6948.69553,12.196,569.753,16.08261,0.00335,23,914.842,22.7515,40.2102,17.935177,0.027145,21,9842.65,44.8071,219.667,14.765116,0.006222,3.170061,1.852568,1.317493,,,,,220.23787601991,-39.64221056817,1.123921,1.064962
6104916958929939712,20,98.8,131.625,100.18,-75.047,40.7053,-15.37,-14.27,-2.947,-1.72,3.3527,Simbad,"UCL","nu Cen","* nu Cen",218.59806200612,-40.77831591135,0.0191,0.0162,7.5974,0.0233,-24.634,0.023,-22.868,0.021,1.182,254,46081.18138,54.8175,840.629,14.028558,0.003043,29,9333.84,70.6463,132.121,15.413392,0.008679,29,56538.3,223.961,252.447,12.867039,0.005725,2.546353,1.384834,1.161519,10.03,6.65,2,10,218.59820659068,-40.77821427616,0.379933,0.342565
6104959942962995840,20,98.1,136.385,104.509,-76.391,42.9315,-15.24,-14.17,-2.932,-1.58,3.0904,Simbad,"UCL","nu Cen","* nu Cen",219.18374717586,-40.21167973285,0.0784,0.1437,7.3322,0.0807,-23.575,0.153,-21.922,0.257,0.7,132,9.691758504705E7,76882.0,1260.6,5.72136,0.002887,14,7.42521E7,109314.0,679.258,5.66177,0.003216,11,3.78278E7,102030.0,370.751,5.803367,0.004781,-0.141597,-0.05959,-0.082007,,,,,219.18388438146,-40.21158230212,2.401169,3.987929
6104960011678277760,20,99.1,132.904,101.807,-74.494,41.827,-15.09,-14.14,-2.779,-1.55,3.1003,Simbad,"UCL","nu Cen","* nu Cen",219.15353025464,-40.22660502302,0.3148,0.2852,7.5242,0.3582,-23.959,0.376,-22.443,0.36,1.107,235,392.88054,1.42829,275.071,19.201715,0.004814,14,26.877,5.00048,5.37489,21.76509,0.202021,21,690.132,9.34727,73.8325,17.650564,0.015183,4.114527,2.563375,1.551151,,,,,219.15366972227,-40.22650527489,6.050621,5.671598
